// source and thanks to: http://www.golombek.com/locations.html
Bethel AK;+60.79170;-161.75000
Bethesda MD;+39.00000;-77.16700
Bethlehem PA;+40.62110;-75.37610
Bettendorf IA;+41.61167;-90.58920
Bettles Field AK;+66.96700;-151.80000
Biddeford ME;+43.49170;-70.46330
Big Delta AK;+64.13300;-145.80000
Big Lake AK;+61.85000;-150.10000
Billings MT;+45.78330;-108.50100
Biloxi MS;+30.39670;-88.88330
Binghamton NY;+42.10080;-75.91310
Birmingham AL;+33.51690;-86.81000
Birmingham England;+52.48330;-1.88320
Bismarck ND;+46.80640;-100.78800
Bitburg Germany;+49.94500;+6.56900
Blackpool England;+53.77300;-3.04500
Blackwell OK;+36.78300;-97.31700
Bloomfield NJ;+40.79500;-74.20000
Bloomington IL;+40.48170;-88.99330
Bloomington IN;+39.16500;-86.53170
Bloomington MN;+44.82500;-93.27500
Bluefield WV;+37.26670;-81.22330
Bluff UT;+37.30000;-109.56700
Boca Raton FL;+26.35000;-80.08670
Boca Raton FL;+26.35000;-80.08670
Bodo Norway;+67.27000;+14.36670
Bogalusa LA;+30.80000;-89.86700
Bogota Colombia;+4.63330;-74.09990
Boise City OK;+36.70000;-102.50000
Boise ID;+43.61860;-116.19900
Boise ID;+43.63333;-116.26700
Bologna Italy;+44.53800;+11.29000
Bombay India;+18.96670;+72.83330
Bonn Germany;+50.72000;+7.08000
Boone NC;+36.19860;-81.65770
Booneville KY;+37.41700;-83.66700
Bordeaux France;+44.83330;-0.61660
Bordentown NJ;+40.08300;-74.66700
Borinquen PR;+18.50000;-67.13330
Boscobel WI;+43.13300;-90.73300
Bossier City LA;+32.50000;-93.70000
Bossier City LA;+32.51670;-93.73170
Boston MA;+42.35670;-71.05690
Boulder City NV;+35.97830;-114.83800
Boulder Creek CA;+37.05000;-122.15000
Boulder CO;+40.01330;-105.28000
Bountiful UT;+40.88500;-111.88000
Bowie MD;+39.00670;-76.78170
Bowling Green KY;+36.98830;-86.45080
Bowman ND;+46.18300;-103.38300
Bozeman MT;+45.68170;-111.03800
Bradshaw AAF HI;+19.76310;-155.55700
Brandon MB;+49.85000;-99.95000
Brandon VT;+43.75000;-73.08300
Brasilia Brazil;-15.86670;-47.91670
Brattleboro VT;+42.85170;-72.56330
Bremen Germany;+53.04700;+8.79000
Bremerton WA;+47.56700;-122.63300
Brest France;+48.40000;-4.49990
Bridgeport CT;+41.18030;-73.18940
Bridgeport CT;+41.18750;-73.20830
Bridgeton NJ;+39.45000;-75.21000
Brilliant OH;+40.16000;-80.38000
Brisbane Australia;-27.49990;+153.16670
Bristol CT;+41.67330;-72.95000
Bristol England;+51.48330;-2.64990
Bristol RI;+41.68300;-71.23300
Bristol TN;+36.59330;-82.17670
Bristol VT;+44.16700;-73.00000
Brize Norton England;+51.75000;-1.58880
Brockton MA;+42.08390;-71.02360
Broken Arrow OK;+36.05000;-95.79500
Brookings OR;+42.06700;-124.26700
Brookings SD;+44.31000;-96.79330
Brookline MA;+42.33170;-71.12170
Brooklyn Park MN;+45.10000;-93.37500
Brookside Park DE;+39.67330;-75.72000
Brownsville TX;+25.90190;-97.49940
Brunei;+4.95000;+114.93670
Brunswick GA;+31.13300;-81.50000
Brunswick ME;+43.90670;-69.96330
Brussels Belgium;+50.85000;+4.35000
Bucharest Romania;+44.38330;+26.16670
Buckeburg Germany;+52.27500;+9.07400
Budapest Hungary;+47.43300;+19.25000
Buena Park CA;+33.87170;-117.99700
Buena Park CA;+33.87170;-117.99700
Buenos Aires Argent;-34.33320;-58.49990
Buffalo NY;+42.88110;-78.87250
Buffalo WY;+44.31700;-106.70000
Burbank CA;+34.18170;-118.31200
Burlington CO;+39.28300;-102.43300
Burlington CT;+41.77000;-72.99000
Burlington IA;+40.81000;-91.23330
Burlington NC;+36.09670;-79.43330
Burlington VT;+44.47860;-73.21280
Burlington WA;+48.47000;-122.45000
Burns OR;+43.58300;-119.08300
Burwash YT;+61.33000;-139.00000
Butte MT;+46.01830;-112.53600
Butterworth Malaysia;+5.46670;+100.40000
Cairo Egypt;+30.00000;+31.28330
Calais/Dunkirk France;+50.96000;+1.95000
Calcutta India;+22.53330;+88.36670
Caldwell ID;+43.66500;-116.68700
Calgary Alberta;+51.05000;-114.08300
Caliente NV;+37.63300;-114.50000
Cambridge England;+52.19000;+0.17000
Cambridge MA;+42.36690;-71.10610
Cambridge MD;+38.57000;-76.07830
Camden NJ;+39.94470;-75.12050
Canberra Australia;-35.35000;+149.16670
Cannes France;+43.73000;+6.90000
Canoga Park CA;+34.21000;-118.57000
Canton China;+23.11670;+113.25000
Canton OH;+40.79720;-81.37690
Cantonsville MD;+39.29050;-76.61250
Cape Canaveral FL;+28.45000;-80.45800
Cape Girardeau MO;+37.31000;-89.53330
Cape May NJ;+38.91700;-74.83300
Cape Town So Africa;-33.79990;+18.46670
Caracas Venezuela;+10.50000;-66.96660
Carbonado WA;+47.08300;-122.05000
Carbondale IL;+37.70000;-89.20000
Cardiff Wales;+51.50000;-3.29990
Carlton MN;+46.66700;-92.43300
Carmichael CA;+38.66680;-121.32900
Carrizozo NM;+33.66700;-105.91700
Carrollton GA;+33.58300;-84.08300
Carson City NV;+39.16670;-119.76700
Carson CA;+33.80670;-118.28300
Cartersville GA;+34.15000;-84.78300
Cary IL;+42.21670;-88.23330
Casa Grande AZ;+32.88000;-111.74800
Casablanca Morocco;+33.53330;-7.68320
Casper WY;+42.84670;-106.31300
Castlerock WA;+46.28300;-122.88300
Cave Creek AZ;+33.77500;-111.89600
Cayenne Fr. Guiana;+4.90000;-52.50000
Cedar City UT;+37.66700;-113.16700
Cedar Falls IA;+42.52500;-92.45170
Cedar Rapids IA;+41.96690;-91.66470
Central Islip NY;+40.79000;-73.20000
Centreville MD;+39.08300;-76.08300
Cerritos CA;+33.83500;-118.08300
Chagrin Falls OH;+41.40000;-81.60000
Champaign IL;+40.11800;-88.24670
Chapel Hill NC;+35.93470;-79.06720
Charleston SC;+32.77640;-79.93140
Charleston WV;+38.35030;-81.63110
Charlevoix PQ;+47.61000;-70.19000
Charlotte NC;+35.22890;-80.84580
Charlottesville VA;+38.00000;-78.41700
Charlottetown PEI;+46.24000;-63.13000
Chatham NB;+47.05000;-65.45000
Chattanooga TN;+35.04470;-85.30890
Cheju S. Korea;+33.50000;+126.50000
Cheltenham PA;+40.05000;-75.11000
Cheraw SC;+34.66700;-79.86700
Cherbourg France;+49.65000;-1.46700
Cherokee OK;+36.73300;-98.36700
Chesapeake VA;+36.82500;-76.28330
Chester CT;+41.41000;-72.48000
Chester PA;+39.85000;-75.36700
Cheyenne WY;+41.13580;-104.81900
Chiang Mai Thailand;+18.76330;+98.96670
Chibougamau PQ;+49.90000;-74.38000
Chicago IL;+41.87440;-87.63940
Chiclayo Peru;-6.78330;-79.83330
Chicopee MA;+42.14000;-72.61170
Chignik AK;+56.23300;-158.20000
Chillicothe IL;+41.91700;-89.50000
Chillicothe MO;+39.76700;-93.53300
Chillicothe OH;+39.33300;-83.00000
Chino Hills CA;+34.01700;-117.70000
Chino CA;+34.01700;-117.70000
Chinook MT;+48.58300;-109.25000
Chitose Japan;+42.80000;+141.66670
Chittagong Bangladesh;+22.25000;+91.83330
Christchurch N Zealan;-43.48300;+172.53300
Christmas Island;+1.98330;-157.36700
Chula Vista CA;+32.64330;-117.08300
Churchill MB;+58.77000;-94.09000
Chuuk Micronesia;+7.45972;+151.83890
Cicero IL;+41.85000;-87.74500
Cincinnati OH;+39.10190;-84.50970
Circle AK;+65.83000;-144.06000
Circleville OH;+39.58300;-83.00000
Claremont NH;+43.37500;-72.33670
Clark NJ;+40.75000;-74.00000
Clarksburg WV;+39.28000;-80.34830
Clarksdale MS;+34.19830;-90.57500
Clarksville TN;+36.52670;-87.34830
Claymont DE;+39.80500;-75.45330
Clear Lake City TX;+29.53000;-95.07780
Clear AK;+64.33000;-149.15000
Clearlake CA;+38.93333;-122.60000
Clearwater FL;+27.96670;-82.79830
Cleveland OH;+41.49750;-81.69720
Cleveland TN;+35.15830;-84.87670
Clifton NJ;+40.88330;-74.14670
Clinton IA;+41.84330;-90.19330
Clovis NM;+34.40170;-103.20500
Cockeysville MD;+39.50000;-76.66700
Cocos Island;-12.18330;+96.83330
Cody WY;+44.51700;-109.03300
Cold Bay AK;+55.20000;-162.72500
Cold Lake AB;+54.43000;-110.23000
College Park MD;+38.98670;-76.93500
Collegedale TN;+35.04700;-85.05100
Cologne Germany;+50.93330;+6.95000
Colombo Sri Lanka;+6.96670;+79.86660
Colon Panama;+9.36670;-79.89990
Colorado Springs CO;+38.83530;-104.82100
Columbia Stn. OH;+41.31780;-81.96060
Columbia MO;+38.95080;-92.32940
Columbia SC;+34.00050;-81.03330
Columbia TN;+35.61500;-87.03670
Columbus GA;+32.46860;-84.99000
Columbus MS;+33.49830;-88.41670
Columbus NE;+42.42500;-97.36000
Columbus OH;+39.96300;-83.00470
Columbus OH;+39.96300;-83.00470
Columbus OH;+39.95000;-83.08330
Comox BC;+49.68000;-124.90000
Compton CA;+33.89500;-118.22600
Concepcion Chile;-36.76670;-73.05000
Concord CA;+37.97500;-122.03000
Concord NH;+43.20610;-71.54030
Condon OR;+45.23300;-120.16700
Conway AR;+35.10000;-92.45000
Conway NH;+44.00000;-71.16700
Copenhagen Denmark;+55.71670;+12.45000
Coralville IA;+41.68400;-91.59680
Corbin KY;+36.91700;-84.10000
Cordova AK;+60.56700;-145.63300
Corinth MS;+34.91700;-88.50000
Corning IA;+40.96700;-94.66700
Corpus Christi TX;+27.79750;-97.39580
Cortez CO;+37.35000;-108.58300
Corvallis OR;+44.56670;-123.27000
Costa Mesa CA;+33.64000;-117.91800
Council Bluffs IA;+41.26170;-95.86500
Covington KY;+39.08670;-84.51170
Cranbrook BC;+49.68000;-115.76000
Cranford NJ;+40.66200;-74.21600
Cranston RI;+41.78330;-71.43830
Crawford NE;+42.68300;-103.41700
Crestwood KY;+38.14000;-85.45000
Crestwood MO;+38.34000;-90.23000
Creve Coeur IL;+40.64360;-89.61060
Cripple Creek CO;+38.73300;-105.20000
Crocker MO;+35.47000;-92.08000
Crofton NE;+42.73300;-97.53300
Cubi Point Philippine;+14.80000;+120.16670
Culver City CA;+34.01000;-118.38300
Cumberland MD;+39.65000;-78.76330
Cut Bank MT;+48.63300;-112.31700
Dacca Bangladesh;+23.85000;+90.40000
Dakar Senegal;+14.75000;-17.50000
Dallas TX;+32.78580;-96.79360
Dalsbruk Finland;+60.01000;+22.48000
Daly City CA;+37.70170;-122.46200
Damascus Syria;+33.51670;+36.30000
Danbury CT;+41.39330;-73.45720
Danielson CT;+41.79000;-71.88000
Danville IA;+40.78333;-91.13330
Danville VA;+36.59170;-79.38420
Dar es Salaam Tanzan.;-6.79990;+39.28330
Darwin Australia;-12.41990;+130.83670
Davenport IA;+41.52190;-90.57580
Dayton OH;+39.75890;-84.19530
Dayton TN;+35.50000;-85.00000
Daytona Beach FL;+29.21220;-81.01940
Deadhorse AK;+70.19500;-148.46000
Dearborn Heights MI;+42.32500;-83.29170
Dearborn MI;+42.32330;-83.17500
Death Valley Nat'l Mon;+36.46389;-116.88100
Decataur IL;+39.84500;-88.94640
Decimomannu Italy;+39.41000;+8.96700
Dekalb IL;+41.92983;-88.71350
